"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"CIV2014B","CIV",2014,"BTSX",NA,NA,24.25,NA,NA,"700","0.26",NA,NA,NA,NA
"CIV2014F","CIV",2014,"FMLE",NA,NA,21.33,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2014M","CIV",2014,"MLE",NA,NA,26.62,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2016B","CIV",2016,"BTSX",NA,NA,22.93,NA,NA,"700","0.31",NA,NA,NA,NA
"CIV2016F","CIV",2016,"FMLE",NA,NA,20.38,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2016M","CIV",2016,"MLE",NA,NA,25.03,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2017B","CIV",2017,"BTSX",NA,NA,22.33,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2017F","CIV",2017,"FMLE",NA,NA,19.88,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2017M","CIV",2017,"MLE",NA,NA,24.39,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2001B","CMR",2001,"BTSX",NA,NA,28.19,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2001F","CMR",2001,"FMLE",NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2001M","CMR",2001,"MLE",NA,NA,30.95,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2002B","CMR",2002,"BTSX",NA,NA,28.12,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2002F","CMR",2002,"FMLE",NA,NA,25.62,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2002M","CMR",2002,"MLE",NA,NA,30.9,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2003B","CMR",2003,"BTSX",NA,NA,28.24,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2003F","CMR",2003,"FMLE",NA,NA,25.63,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2003M","CMR",2003,"MLE",NA,NA,31.15,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2004B","CMR",2004,"BTSX",NA,NA,28.12,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2004F","CMR",2004,"FMLE",NA,NA,25.44,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2004M","CMR",2004,"MLE",NA,NA,31.1,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2006B","CMR",2006,"BTSX",NA,NA,28.69,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2006F","CMR",2006,"FMLE",NA,NA,25.98,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2006M","CMR",2006,"MLE",NA,NA,31.68,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2007B","CMR",2007,"BTSX",NA,NA,28.23,NA,NA,NA,NA,NA,NA,NA,NA
"CMR2007F","CMR",2007,"FMLE",NA,NA,25.39,NA,NA,NA,NA,NA,NA,NA,NA
